Test Line
Subbasins	AREAm2
1	203000
2	282000
3	92200
4	259000
5	36200
6	62800
7	58900
8	201000
9	40000
10	73100
11	62100
12	202000
13	73100
14	79900
15	4880
16	165000
17	118000
18	42100
19	130000
20	121000
21	115000
22	68000
23	83300
24	126000
25	191000
26	89700
27	1200
28	84200
29	25500
30	62700
31	132000
32	50800
33	83000
34	141000
35	38300
36	98600
37	21700
38	53200
39	189000
40	6350
41	14800
42	25000
43	27000
44	98000
45	2580
46	29600
47	102000
48	69700
49	103000
50	121000
51	69300
52	2580
53	142000
54	38400
55	121000
56	60600
57	202000
58	143000
59	151000
60	25600
61	149000
62	51000
63	378000
64	71500
65	160000
66	205000
67	175000
68	32100
69	67300
70	68300
71	56500
72	63800
73	197000
74	96700
75	270000
76	84500
77	70600
78	94800
79	243000
80	184
81	87400
82	56800
83	60900
84	176000
85	15500
86	173000
87	220000
88	101000
89	73700
90	1010
91	181000
92	245000
93	134000
94	5890
95	54000
96	86800
97	228000
98	205000
99	70300
100	163000
101	66200
102	6070
103	75900
104	150000
105	19600
106	91300
107	36700
108	57200
109	184000
110	52300
111	197000
112	13800
113	51100
114	91600
115	90200
116	160000
117	315000
118	216000
119	119000
120	139000
121	111000
122	103000
123	224000
124	37700
125	75000
126	209000
127	187000
128	57700
129	400000
130	312000
131	27500
132	259000
133	166000
134	257000
135	73800
136	101000
137	82100
138	55700
139	19400
140	229000
141	5060
142	175000
143	85600
144	358000
145	58400
146	121000
147	115000
148	59100
149	257000
150	31100
151	65300
152	61700
153	15600
154	162000
155	275000
156	61100
157	136000
158	231000
159	64300
160	55200
161	101000
162	1750
163	88400
164	278000
165	175000
166	96200
167	122000
168	55700
169	61500
170	334000
171	6440
172	80800
173	75200
174	277000
175	38400
176	190000
177	145000
178	115000
179	176000
180	237000
181	202000
182	72100
183	182000
184	125000
185	49700
186	156000
187	156000
188	828
189	80300
190	4690
191	3220
192	1560
193	114000
194	71400
195	107000
196	78700
197	2210
198	173000
199	93700
200	808000
201	22000
202	62800
203	95600
204	56200
205	181000
206	111000
207	48400
208	70800
209	57900
210	170000
211	72500
212	40900
213	89200
214	55700
215	65000
216	137000
217	56300
218	2670
219	129000
220	6070
221	105000
222	61700
223	54100
224	20100
225	43200
226	66700
227	115000
228	89000
229	61100
230	377000
231	88100
232	460
233	150000
234	79000
235	57700
236	45000
237	45800
238	99300
239	263000
240	73000
241	57300
242	76400
243	14100
244	91800
245	130000
246	41900
247	52500
248	112000
249	337000
250	10900
251	38100
252	58600
253	75300
254	4880
255	59500
256	157000
257	25000
258	54600
259	89000
260	67200
261	53300
262	26500
263	329000
264	151000
265	67100
266	368
267	78400
268	159000
269	2480
270	165000
271	9110
272	68100
273	82100
274	39900
275	70600
276	23700
277	122000
278	128000
279	129000
280	69300
281	323000
282	57800
283	4970
284	158000
285	184000
286	111000
287	103000
288	292000
289	88900
290	178000
291	53100
292	61500
293	736
294	110000
295	1380
296	64200
297	60300
298	55300
299	14900
300	375000
301	102000
302	62600
303	1930
304	127000
305	163000
306	586000
307	80400
308	500000
309	35600
310	116000
311	72900
312	108000
313	2850
314	51800
315	87800
316	136000
317	17800
318	158000
319	100000
320	155000
321	96100
322	81000
323	194000
324	58100
325	63500
326	180000
327	53200
328	1840
329	160000
330	41000
331	89200
332	205000
333	136000
334	55700
335	41500
336	53100
337	101000
338	56700
339	101000
340	9110
341	50700
342	15800
343	76700
344	3130
345	25900
346	199000
347	1200
348	52800
349	184
350	23400
351	45700
352	102000
353	31900
354	162000
355	13200
356	24600
357	72500
358	142000
359	258000
360	126000
361	34300
362	5700
363	5700
364	180000
365	352000
366	68400
367	57600
368	59200
369	156000
370	27400
371	98600
372	278000
373	16500
374	93600
375	73700
376	29700
377	45800
378	145000
379	153000
380	302000
381	1380
382	297000
383	5610
384	103000
385	736
386	74000
387	2670
388	87500
389	132000
390	52200
391	48800
392	507000
393	3590
394	205000
395	3860
396	71700
397	238000
398	3770
399	20000
400	30800
401	110000
402	141000
403	63200
404	143000
405	64500
406	53000
407	79000
408	280000
409	54200
410	109000
411	132000
412	67100
413	168000
414	111000
415	93800
416	186000
417	46500
418	120000
419	175000
420	167000
421	11200
422	88600
423	65200
424	137000
425	187000
426	7360
427	143000
428	138000
429	80800
430	8740
431	572000
432	50100
433	101000
434	286000
435	51500
436	132000
437	141000
438	176000
439	218000
440	56900
441	100000
442	2850
443	276
444	84000
445	14600
446	64900
447	59100
448	1200
449	165000
450	5340
451	115000
452	91500
453	50600
454	153000
455	73300
456	60000
457	58800
458	59100
459	92
460	58000
461	50700
462	94000
463	69000
464	323000
465	90700
466	62100
467	85900
468	5240
469	35300
470	47100
471	69800
472	128000
473	16700
474	116000
475	99000
476	195000
